2024-03-17 16:03:36.874 INFO  (searcherExecutor-13-thread-1-processing-restaurants null-9) [c: s: r: x:restaurants t:null-9] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-03-17 16:03:36.879 INFO  (searcherExecutor-13-thread-1-processing-restaurants null-9) [c: s: r: x:restaurants t:null-9] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2024-03-17 16:03:36.889 INFO  (qtp1415289182-20-null-9) [c: s: r: x:restaurants t:null-9] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={waitSearcher=true&commit=true&softCommit=false&wt=javabin&version=2}{commit=} 0 60
2024-03-17 16:03:52.074 INFO  (qtp1415289182-19-null-10) [c: s: r: x:restaurants t:null-10] o.a.s.c.S.Request webapp=/solr path=/select params={q=id:907b134b\-3013\-463c\-ab7d\-ed99f326432d&start=0&rows=1&wt=javabin&version=2} hits=1 status=0 QTime=5
2024-03-17 16:03:52.090 INFO  (qtp1415289182-20-null-11) [c: s: r: x:restaurants t:null-11] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={wt=javabin&version=2}{add=[907b134b-3013-463c-ab7d-ed99f326432d (1793789979086815232)]} 0 8
2024-03-17 16:03:52.148 INFO  (searcherExecutor-13-thread-1-processing-restaurants null-12) [c: s: r: x:restaurants t:null-12] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-03-17 16:03:52.151 INFO  (searcherExecutor-13-thread-1-processing-restaurants null-12) [c: s: r: x:restaurants t:null-12] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2024-03-17 16:03:52.160 INFO  (qtp1415289182-19-null-12) [c: s: r: x:restaurants t:null-12] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={waitSearcher=true&commit=true&softCommit=false&wt=javabin&version=2}{commit=} 0 67
2024-03-17 16:04:00.370 INFO  (qtp1415289182-20-null-13) [c: s: r: x:restaurants t:null-13] o.a.s.c.S.Request webapp=/solr path=/select params={q=*:*&start=0&rows=0&wt=javabin&version=2} hits=4 status=0 QTime=2
2024-03-17 16:04:00.377 INFO  (qtp1415289182-19-null-14) [c: s: r: x:restaurants t:null-14] o.a.s.c.S.Request webapp=/solr path=/select params={q=*:*&start=0&rows=4&wt=javabin&version=2} hits=4 status=0 QTime=1
2024-03-17 16:04:38.137 INFO  (qtp1415289182-20-null-15) [c: s: r: x:restaurants t:null-15] o.a.s.c.S.Request webapp=/solr path=/select params={q=id:907b134b\-3013\-463c\-ab7d\-ed99f326432d&start=0&rows=1&wt=javabin&version=2} hits=1 status=0 QTime=12
2024-03-17 16:04:55.991 INFO  (qtp1415289182-19-null-16) [c: s: r: x:restaurants t:null-16] o.a.s.c.S.Request webapp=/solr path=/select params={q=id:907b134b\-3013\-463c\-ab7d\-ed99f326432d&start=0&rows=1&wt=javabin&version=2} hits=1 status=0 QTime=0
2024-03-17 16:04:56.010 INFO  (qtp1415289182-20-null-17) [c: s: r: x:restaurants t:null-17] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={wt=javabin&version=2}{delete=[907b134b-3013-463c-ab7d-ed99f326432d (-1793790046115987456)]} 0 10
2024-03-17 16:04:56.029 INFO  (searcherExecutor-13-thread-1-processing-restaurants null-18) [c: s: r: x:restaurants t:null-18] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-03-17 16:04:56.034 INFO  (searcherExecutor-13-thread-1-processing-restaurants null-18) [c: s: r: x:restaurants t:null-18] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2024-03-17 16:04:56.048 INFO  (qtp1415289182-19-null-18) [c: s: r: x:restaurants t:null-18] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={waitSearcher=true&commit=true&softCommit=false&wt=javabin&version=2}{commit=} 0 35
2024-03-17 16:05:02.275 INFO  (qtp1415289182-20-null-19) [c: s: r: x:restaurants t:null-19] o.a.s.c.S.Request webapp=/solr path=/select params={q=*:*&start=0&rows=0&wt=javabin&version=2} hits=3 status=0 QTime=4
2024-03-17 16:05:02.285 INFO  (qtp1415289182-19-null-20) [c: s: r: x:restaurants t:null-20] o.a.s.c.S.Request webapp=/solr path=/select params={q=*:*&start=0&rows=3&wt=javabin&version=2} hits=3 status=0 QTime=2
2024-03-17 16:05:18.756 INFO  (qtp1415289182-20-null-21) [c: s: r: x:restaurants t:null-21] o.a.s.c.S.Request webapp=/solr path=/select params={q=*:*&start=0&rows=0&wt=javabin&version=2} hits=3 status=0 QTime=1
